kenteken;voertuigsoort;merk;handelsbenaming;vervaldatum_apk;datum_tenaamstelling;inrichting;eerste_kleur;tweede_kleur;aantal_cilinders;massa_ledig_voertuig;massa_rijklaar;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;aantal_deuren;aantal_wielen;europese_voertuigcategorie;plaats_chassisnummer;type_gasinstallatie;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;vervaldatum_apk_dt;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;maximum_last_onder_de_vooras_sen_tezamen_koppeling;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;technische_max_massa_voertuig;volgnummer_wijziging_eu_typegoedkeuring;maximum_massa_samenstelling;bruto_bpm;aantal_zitplaatsen;cilinderinhoud;toegestane_maximum_massa_voertuig;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;catalogusprijs;type;typegoedkeuringsnummer;variant;uitvoering;aantal_rolstoelplaatsen;zuinigheidsclassificatie;maximum_ondersteunende_snelheid;maximale_constructiesnelheid;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;europese_voertuigcategorie_toevoeging;europese_uitvoeringcategorie_toevoeging;prijs_per_cilinder
00GJF7;Personenauto;BMW;3ER REIHE;20230705;20150610;sedan;ZWART;Niet geregistreerd;4;1405;1505;20080705;20080705;Geen verstrekking in Open Data;Ja;4;4;M1;op r. schroefveerkoker onder motorkap;;0.07;276;Nee;Nee;Nee;2022;Logisch;00;Ja;2023-07-05T00:00:00.000;2015-06-10T00:00:00.000;2008-07-05T00:00:00.000;2008-07-05T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;452;0;1950;0;3625;8187;5;1995;1950;745;1600;36826.0;390L;e1*2001/116*0308*08;VG11;AC;0;A;;;;;;;9206.5
00GJK8;Personenauto;BMW;3ER REIHE;20230930;20120904;sedan;ZWART;Niet geregistreerd;4;1335;1435;20080701;20080701;Geen verstrekking in Open Data;Ja;4;4;M1;op r. schroefveerkoker onder motorkap;;0.07;276;Nee;Nee;Nee;2022;Logisch;00;Ja;2023-09-30T00:00:00.000;2012-09-04T00:00:00.000;2008-07-01T00:00:00.000;2008-07-01T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;452;0;1880;0;3205;7154;5;1995;1880;695;1250;35276.0;390L;e1*2001/116*0308*08;VF51;AA;0;A;;;;;;;8819.0
00GJS5;Personenauto;BMW;3ER REIHE;20230407;20200313;sedan;GRIJS;Niet geregistreerd;4;1325;1425;20080702;20080702;Geen verstrekking in Open Data;Ja;4;4;M1;op r. schroefveerkoker onder motorkap;;0.06;276;Nee;Nee;Nee;2022;Logisch;00;Ja;2023-04-07T00:00:00.000;2020-03-13T00:00:00.000;2008-07-02T00:00:00.000;2008-07-02T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;452;0;1870;0;3045;7304;5;1599;1870;695;1100;35847.0;390L;e1*2001/116*0308*08;VF31;AA;0;A;;;;;;;8961.75
00GKL5;Personenauto;BMW;645 CI;20230712;20220712;cabriolet;ZWART;Niet geregistreerd;8;1800;1900;20050214;20080704;Geen verstrekking in Open Data;Ja;2;4;M1;r. schroefveerkoker;;0.13;278;Nee;Nee;Nee;2022;Onlogisch;04;Ja;2023-07-12T00:00:00.000;2022-07-12T00:00:00.000;2005-02-14T00:00:00.000;2008-07-04T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;2255;;;12150;4;4398;2255;;;118458.0;;;;;;;;;;;;;14807.25
00GLF8;Personenauto;BMW;1ER REIHE;20230715;20210319;hatchback;BLAUW;Niet geregistreerd;4;1275;1375;20080715;20080715;Geen verstrekking in Open Data;Ja;4;4;M1;r. schroefveerkoker onder motorkap;;0.08;266;Nee;Nee;Nee;2022;Logisch;00;Ja;2023-07-15T00:00:00.000;2021-03-19T00:00:00.000;2008-07-15T00:00:00.000;2008-07-15T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;424;0;1800;0;3075;7394;5;1995;1800;670;1200;34222.0;187;e1*2001/116*0287*13;UE51;AL;0;B;;;;;;;8555.5
00GLL4;Personenauto;BMW;3ER REIHE;20230604;20220813;sedan;GRIJS;Niet geregistreerd;4;1375;1475;20080801;20080801;Geen verstrekking in Open Data;Ja;4;4;M1;op r. schroefveerkoker onder motorkap;;0.08;276;Nee;Nee;Nee;2022;Logisch;00;Ja;2023-06-04T00:00:00.000;2022-08-13T00:00:00.000;2008-08-01T00:00:00.000;2008-08-01T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;452;0;1920;0;3495;10215;5;1995;1920;695;1500;44979.0;390L;e1*2001/116*0308*08;VF91;AB;0;B;;;;;;;11244.75
00GLV4;Personenauto;BMW;3ER REIHE;20230514;20170701;sedan;ZWART;Niet geregistreerd;4;1325;1425;20080726;20080726;Geen verstrekking in Open Data;Ja;4;4;M1;op r. schroefveerkoker onder motorkap;;0.06;276;Nee;Ja;Nee;2022;Logisch;00;Ja;2023-05-14T00:00:00.000;2017-07-01T00:00:00.000;2008-07-26T00:00:00.000;2008-07-26T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;452;0;1870;0;3045;7301;5;1599;1870;695;1100;35838.0;390L;e1*2001/116*0308*08;VF31;AA;0;A;;;;;;;8959.5
00GLZ7;Personenauto;BMW;3ER REIHE;20230919;20201107;cabriolet;ZWART;Niet geregistreerd;4;1600;1700;20080723;20080723;Geen verstrekking in Open Data;Ja;2;4;M1;op r. schroefveerkoker onder motorkap;;0.07;276;Nee;Ja;Nee;2022;Logisch;00;Ja;2023-09-19T00:00:00.000;2020-11-07T00:00:00.000;2008-07-23T00:00:00.000;2008-07-23T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;458;0;2055;0;3630;16338;4;1995;2055;720;1500;51991.0;;e1*2001/116*0346*06;WK71;AB;0;B;;;;;;;12997.75
00GNF9;Personenauto;BMW;3ER REIHE;20230919;20200217;cabriolet;GRIJS;Niet geregistreerd;6;1725;1825;20080725;20080725;Geen verstrekking in Open Data;Ja;2;4;M1;op r. schroefveerkoker onder motorkap;;0.12;276;Nee;Nee;Nee;2022;Logisch;00;Ja;2023-09-19T00:00:00.000;2020-02-17T00:00:00.000;2008-07-25T00:00:00.000;2008-07-25T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;458;0;2180;0;3955;23420;4;2979;2180;750;1700;89988.0;392C;e1*2001/116*0346*07;WL71;AB;0;F;;;;;;;14998.0
00GNJ1;Personenauto;BMW;3ER REIHE;20230727;20080725;sedan;GRIJS;Niet geregistreerd;4;1325;1425;20080725;20080725;Geen verstrekking in Open Data;Ja;4;4;M1;op r. schroefveerkoker onder motorkap;;0.06;276;Nee;Ja;Nee;2022;Logisch;00;Ja;2023-07-27T00:00:00.000;2008-07-25T00:00:00.000;2008-07-25T00:00:00.000;2008-07-25T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;452;0;1870;0;3045;7049;5;1599;1870;695;1100;34875.0;390L;e1*2001/116*0308*08;VF31;AA;0;A;;;;;;;8718.75
